passage,reading_level
"From the sublime to the ridiculous--so with me, from Mandeville to hide-curing, was but a step; for",High
Don't you want to come aboard and work?,High
"Tuesday, August 25th. This morning, the officer in charge of our house went off beyond the point a fishing, in a small canoe, with two Kanakas; and we were sitting quietly in our room at the hide-house, when, just before noon, we heard a complete yell of ""Sail ho!"" breaking out from all parts of the beach, at once,--from the Kanakas' oven to the Rosa's house. In an instant, every one was out of his house; and there was a fine, tall ship, with royals and skysails set, bending over before the strong afternoon breeze, and coming rapidly round the point. Her yards were braced sharp up; every sail was set, and drew well; the Yankee ensign was flying from her mizen-peak; and having the tide in her favor, she came up like a race-horse. It was nearly six months since a new vessel had entered San Diego, and of course, every one was on the qui-vive. She certainly made a fine appearance. Her light sails were taken in, as she passed the low, sandy tongue of land, and clewing up her head sails, she rounded handsomely to, under her mizen topsail, and let go the anchor at about a cable's length from the shore. In a few minutes, the topsail yards were manned, and all three of the topsails furled at once. From the fore top-gallant yard, the men slid down the stay to furl the jib, and from the mizen top-gallant yard, by the stay, into the maintop, and thence to the yard; and the men on the topsail yards came down the lifts to the yard-arms of the courses. The sails were furled with great care, the bunts triced up by jiggers, and the jibs stowed in cloth. The royal yards were then struck, tackles got upon the yard-arms and the stay, the long-boat hoisted out, a large anchor carried astern, and the ship moored. Then the captain's gig was lowered away from the quarter, and a boat's crew of fine lads, between the ages of fourteen and eighteen, pulled the captain ashore. The gig was a light whale-boat, handsomely painted, and fitted up with cushions, etc., in the stern sheets. We immediately attacked the boat's crew, and got very thick with them in a few minutes. We had much to ask about Boston, their passage out, etc., and they were very curious to know about the life we were leading upon the beach. One of them offered to exchange with me; which was just what I wanted; and we had only to get the permission of the captain.",High
"The sailor's songs for capstans and falls are of a peculiar kind, having a chorus at the end of each line. The burden is usually sung, by one alone, and, at the chorus, all hands join in,--and the louder the noise, the better. With us, the chorus seemed almost to raise the decks of the ship, and might be heard at a great distance, ashore. A song is as necessary to sailors as the drum and fife to a soldier. They can't pull in time, or pull with a will, without it. Many a time, when a thing goes heavy, with one fellow yo-ho-ing, a lively song, like ""Heave, to the girls!"" ""Nancy oh!"" ""Jack Cross-tree,"" etc., has put life and strength into every arm. We often found a great difference in the effect of the different songs in driving in the hides. Two or three songs would be tried, one after the other; with no effect;--not an inch could be got upon the tackles--when a new song, struck up, seemed to hit the humor of the moment, and drove the tackles ""two blocks"" at once. ""Heave round hearty!"" ""Captain gone ashore!"" and the like, might do for common pulls, but in an emergency, when we wanted a heavy, ""raise-the-dead"" pull, which should start the beams of the ship, there was nothing like ""Time for us to go!"" ""Round the corner,"" or ""Hurrah! hurrah! my hearty bullies!""",High
"Ah! said ""Chips,"" ""you don't know what it is to have a wife, and""--",High
"I had never studied Spanish while at college, and could not speak a word, when at Juan Fernandez; but during the latter part of the passage out, I borrowed a grammar and dictionary from the cabin, and by a continual use of these, and a careful attention to every word that I heard spoken, I soon got a vocabulary together, and began talking for myself. As I soon knew more Spanish than any of the crew, (who indeed knew none at all,) and had been at college and knew Latin, I got the name of a great linguist, and was always sent for by the captain and officers to get provisions, or to carry letters and messages to different parts of the town. I was often sent to get something which I could not tell the name of to save my life; but I liked the business, and accordingly never pleaded ignorance. Sometimes I managed to jump below and take a look at my dictionary before going ashore; or else I overhauled some English resident on my way, and got the word from him; and then, by signs, and the help of my Latin and French, contrived to get along. This was a good exercise for me, and no doubt taught me more than I should have learned by months of study and reading; it also gave me opportunities of seeing the customs, characters, and domestic arrangements of the people; beside being a great relief from the monotony of a day spent on board ship.",High
"It now began to blow fresh; the rain fell fast, and it grew very black; but the captain would not take in sail until we were well clear of the point. As soon as we left this on our quarter, and were standing out to sea, the order was given, and we sprang aloft, double reefed each topsail, furled the foresail, and double reefed the trysail, and were soon under easy sail. In those cases of slipping for south-easters, there is nothing to be done, after you have got clear of the coast, but to lie-to under easy sail, and wait for the gale to be over, which seldom lasts more than two days, and is often over in twelve hours; but the wind never comes back to the southward until there has been a good deal of rain fallen. ""Go below the watch,"" said the mate; but here was a dispute which watch it should be, which the mate soon however settled by sending his watch below, saying that we should have our turn the next time we got under weigh. We remained on deck till the expiration of the watch, the wind blowing very fresh and the rain coming down in torrents. When the watch came up, we wore ship, and stood on the other tack, in towards land. When we came up again, which was at four in the morning, it was very dark, and there was not much wind, but it was raining as I thought I had never seen it rain before. We had on oil-cloth suits and south-wester caps, and had nothing to do but to stand bolt upright and let it pour down upon us. There are no umbrellas, and no sheds to go under, at sea.",High
"Saturday, July 11th. The Pilgrim set sail for the windward, and left us to go on in our old way. Having laid in such a supply of wood, and the days being now long, and invariably pleasant, we had a good deal of time to ourselves. All the duck I received from home, I soon made up into trowsers and frocks, and displayed, every Sunday, a complete suit of my own make, from head to foot, having formed the remnants of the duck into a cap. Reading, mending, sleeping, with occasional excursions into the bush, with the dogs, in search of coati, hares, and rabbits, or to encounter a rattlesnake, and now and then a visit to the Presidio, filled up our spare time after hide-curing was over for the day. Another amusement, which we sometimes indulged in, was ""burning the water"" for craw-fish. For this purpose, we procured a pair of grains, with a long staff like a harpoon, and making torches with tarred rope twisted round a long pine stick, took the only boat on the beach, a small skiff, and with a torch-bearer in the bow, a steersman in the stern, and one man on each side with the grains, went off, on dark nights, to burn the water. This is fine sport. Keeping within a few rods of the shore, where the water is not more than three or four feet deep, with a clear sandy bottom, the torches light everything up so that one could almost have seen a pin among the grains of sand. The craw-fish are an easy prey, and we used soon to get a load of them. The other fish were more difficult to catch, yet we frequently speared a number of them, of various kinds and sizes. The Pilgrim brought us down a supply of fish-hooks, which we had never had before, on the beach, and for several days we went down to the Point, and caught a quantity of cod and mackerel. On one of these expeditions, we saw a battle between two Sandwich Islanders and a shark. ""Johnny"" had been playing about our boat for some time, driving away the fish, and showing his teeth at our bait, when we missed him, and in a few moments heard a great shouting between two Kanakas who were fishing on the rock opposite to us: ""E hana hana make i ka ia nui!"" ""E pii mai Aikane!"" etc., etc.; and saw them pulling away on a stout line, and ""Johnny Shark"" floundering at the other end. The line soon broke; but the Kanakas would not let him off so easily, and sprang directly into the water after him. Now came the tug of war. Before we could get into deep water, one of them seized him by the tail, and ran up with him upon the beach; but Johnny twisted round, turning his head under his body, and, showing his teeth in the vicinity of the Kanaka's hand, made him let go and spring out of the way. The shark now turned tail and made the best of his way, by flapping and floundering, toward deep water; but here again, before he was fairly off, the other Kanaka seized him by the tail, and made a spring towards the beach, his companion at the same time paying away upon him with stones and a large stick. As soon, however, as the shark could turn, he was obliged to let go his hold; but the instant he made toward deep water, they were both behind him, watching their chance to seize him. In this way the battle went on for some time, the shark, in a rage, splashing and twisting about, and the Kanakas, in high excitement, yelling at the top of their voices; but the shark at last got off, carrying away a hook and liner and not a few severe bruises.",High
"But all these little vexations and labors would have been nothing,--they would have been passed by as the common evils of a sea-life, which every sailor, who is a man, will go through without complaint,--were it not for the uncertainty, or worse than uncertainty, which hung over the nature and length of our voyage. Here we were, in a little vessel, with a small crew, on a half-civilized coast, at the ends of the earth, and with a prospect of remaining an indefinite period, two or three years at the least. When we left Boston we supposed that it was to be a voyage of eighteen months, or two years, at most; but upon arriving on the coast, we learned something more of the trade, and found that in the scarcity of hides, which was yearly greater and greater, it would take us a year, at least, to collect our own cargo, beside the passage out and home; and that we were also to collect a cargo for a large ship belonging to the same firm, which was soon to come on the coast, and to which we were to act as tender. We had heard rumors of such a ship to follow us, which had leaked out from the captain and mate, but we passed them by as mere ""yarns,"" till our arrival, when they were confirmed by the letters which we brought from the owners to their agent. The ship California, belonging to the same firm, had been nearly two years on the coast; had collected a full cargo, and was now at San Diego, from which port she was expected to sail in a few weeks for Boston; and we were to collect all the hides we could, and deposit them at San Diego, when the new ship, which would carry forty thousand, was to be filled and sent home; and then we were to begin anew, and collect our own cargo. Here was a gloomy prospect before us, indeed. The California had been twenty months on the coast, and the Lagoda, a smaller ship, carrying only thirty-one or thirty-two thousand, had been two years getting her cargo; and we were to collect a cargo of forty thousand beside our own, which would be twelve or fifteen thousand; and hides were said to be growing scarcer. Then, too, this ship, which had been to us a worse phantom than any flying Dutchman, was no phantom, or ideal thing, but had been reduced to a certainty; so much so that a name was given her, and it was said that she was to be the Alert, a well-known India-man, which was expected in Boston in a few months, when we sailed. There could be no doubt, and all looked black enough. Hints were thrown out about three years and four years;--the older sailors said they never should see Boston again, but should lay their bones in California; and a cloud seemed to hang over the whole voyage. Besides, we were not provided for so long a voyage, and clothes, and all sailors' necessaries, were excessively dear--three or four hundred per cent. advance upon the Boston prices. This was bad enough for them; but still worse was it for me, who did not mean to be a sailor for life; having intended only to be gone eighteen months or two years. Three or four years would make me a sailor in every respect, mind and habits, as well as body--nolens volens; and would put all my companions so far ahead of me that college and a profession would be in vain to think of; and I made up my mind that, feel as I might, a sailor I must be, and to be master of a vessel, must be the height of my ambition.",High
"Bad weather and hard work at sea can be borne up against very well, if one only has spirit and health; but there is nothing brings a man down, at such a time, like bodily pain and want of sleep.",High
"With a fine south-west wind, we passed inside of the Bermudas; and notwithstanding the old couplet, which was quoted again and again by those who thought we should have one more touch of a storm before our voyage was up,--",High
"January 10th, 1860. I am again in San Francisco, and my revisit to California is closed. I have touched too lightly and rapidly for much impression upon the reader on my last visit into the interior; but, as I have said, in a mere continuation to a narrative of a sea-faring life on the coast, I am only to carry the reader with me on a visit to those scenes in which the public has long manifested so gratifying an interest. But it seemed to me that slight notices of these entirely new parts of the country would not be out of place, for they serve to put in strong contrast with the solitudes of 1835-6 the developed interior, with its mines, and agricultural wealth, and rapidly filling population, and its large cities, so far from the coast, with their education, religion, arts, and trade.",High
"Sunday, Sept. 7th. Fell in with the north-east trade winds. This morning we caught our first dolphin, which I was very eager to see. I was disappointed in the colors of this fish when dying. They were certainly very beautiful, but not equal to what has been said of them. They are too indistinct. To do the fish justice, there is nothing more beautiful than the dolphin when swimming a few feet below the surface, on a bright day. It is the most elegantly formed, and also the quickest fish, in salt water; and the rays of the sun striking upon it, in its rapid and changing motions, reflected from the water, make it look like a stray beam from a rainbow.",High
"At night, some of us got a boat and went on board, and found a large, roomy forecastle, (for she was squarer forward than the Alert,) and a crew of a dozen or fifteen men and boys, sitting around on their chests, smoking and talking, and ready to give a welcome to any of our ship's company. It was just seven months since they left Boston, which seemed but yesterday to us. Accordingly, we had much to ask, for though we had seen the newspapers that she brought, yet these were the very men who had been in Boston and seen everything with their own eyes. One of the green-hands was a Boston boy, from one of the public schools, and, of course, knew many things which we wished to ask about, and on inquiring the names of our two Boston boys, found that they had been schoolmates of his. Our men had hundreds of questions to ask about Ann street, the boarding-houses, the ships in port, the rate of wages, and other matters.",High
"Having at length gone through our turns and acquitted ourselves of all obligations, we slipped out, and went about among the houses, endeavoring to get horses for the day, so that we might ride round and see the country. At first we had but little success, all that we could get out of the lazy fellows, in reply to our questions, being the eternal drawling ""Quien sabe?"" (""who knows?"") which is an answer to all questions. After several efforts, we at length fell in with a little Sandwich Island boy, who belonged to Captain Wilson of the Ayacucho, and was well acquainted in the place; and he, knowing where to go, soon procured us two horses, ready saddled and bridled, each with a lasso coiled over the pommel. These we were to have all day, with the privilege of riding them down to the beach at night, for a dollar, which we had to pay in advance. Horses are the cheapest thing in California; the very best not being worth more than ten dollars apiece, and very good ones being often sold for three, and four. In taking a day's ride, you pay for the use of the saddle, and for the labor and trouble of catching the horses. If you bring the saddle back safe, they care but little what becomes of the horse. Mounted on our horses, which were spirited beasts, and which, by the way, in this country, are always steered by pressing the contrary rein against the neck, and not by pulling on the bit,--we started off on a fine run over the country. The first place we went to was the old ruinous presidio, which stands on a rising ground near the village, which it overlooks. It is built in the form of an open square, like all the other presidios, and was in a most ruinous state, with the exception of one side, in which the commandant lived, with his family. There were only two guns, one of which was spiked, and the other had no carriage. Twelve, half clothed, and half starved looking fellows, composed the garrison; and they, it was said, had not a musket apiece. The small settlement lay directly below the fort, composed of about forty dark brown looking huts, or houses, and two larger ones, plastered, which belonged to two of the ""gente de razón."" This town is not more than half as large as Monterey, or Santa Barbara, and has little or no business. From the presidio, we rode off in the direction of the mission, which we were told was three miles distant. The country was rather sandy, and there was nothing for miles which could be called a tree, but the grass grew green and rank, and there were many bushes and thickets, and the soil is said to be good. After a pleasant ride of a couple of miles, we saw the white walls of the mission, and fording a small river, we came directly before it. The mission is built of mud, or rather of the unburnt bricks of the country, and plastered. There was something decidedly striking in its appearance: a number of irregular buildings, connected with one another, and disposed in the form of a hollow square, with a church at one end, rising above the rest, with a tower containing five belfries, in each of which hung a large bell, and with immense rusty iron crosses at the tops. Just outside of the buildings, and under the walls, stood twenty or thirty small huts, built of straw and of the branches of trees, grouped together, in which a few Indians lived, under the protection and in the service of the mission.",High
"We lay at San Pedro about a week, engaged in taking off hides and in other labors, which had now become our regular duties. I spent one more day on the hill, watching a quantity of hides and goods, and this time succeeded in finding a part of a volume of Scott's Pirate, in a corner of the house; but it failed me at a most interesting moment, and I betook myself to my acquaintances on shore, and from them learned a good deal about the customs of the country, the harbors, etc. This, they told me, was a worse harbor than Santa Barbara, for south-easters; the bearing of the headland being a point and a half more to windward, and it being so shallow that the sea broke often as far out as where we lay at anchor. The gale from which we slipped at Santa Barbara, had been so bad a one here, that the whole bay, for a league out, was filled with the foam of the breakers, and seas actually broke over the Dead Man's island. The Lagoda was lying there, and slipped at the first alarm, and in such haste that she was obliged to leave her launch behind her at anchor. The little boat rode it out for several hours, pitching at her anchor, and standing with her stern up almost perpendicularly. The men told me that they watched her till towards night, when she snapped her cable and drove up over the breakers, high and dry upon the beach.",High
"If you come forward, sir, I'll go aft. One is enough on the forecastle.",High
"About noon, a man aloft called out ""Sail ho!"" and looking round, we saw the head sails of a vessel coming round the point. As she drew round, she showed the broadside of a full-rigged brig, with the Yankee ensign at her peak. We ran up our stars and stripes, and, knowing that there was no American brig on the coast but ourselves, expected to have news from home. She rounded-to and let go her anchor, but the dark faces on her yards, when they furled the sails, and the Babel on deck, soon made known that she was from the Islands. Immediately afterwards, a boat's crew came aboard, bringing her skipper, and from them we learned that she was from Oahu, and was engaged in the same trade with the Ayacucho, Loriotte, etc., between the coast, the Sandwich Islands, and the leeward coast of Peru and Chili. Her captain and officers were Americans, and also a part of her crew; the rest were Islanders. She was called the Catalina, and, like all the others vessels in that trade, except the Ayacucho, her papers and colors were from Uncle Sam. They, of course, brought us no news, and we were doubly disappointed, for we had thought, at first, it might be the ship which we were expecting from Boston.",High
"Thursday, Nov. 12th. This day was quite cool in the early part, and there were black clouds about; but as it was often so in the morning, nothing was apprehended, and all the captains went ashore together, to spend the day. Towards noon, the clouds hung heavily over the mountains, coming half way down the hills that encircle the town of Santa Barbara, and a heavy swell rolled in from the south-east. The mate immediately ordered the gig's crew away, and at the same time, we saw boats pulling ashore from the other vessels. Here was a grand chance for a rowing match, and every one did his best. We passed the boats of the Ayacucho and Loriotte, but could gain nothing upon, and indeed, hardly hold our own with, the long, six-oared boat of the whale-ship. They reached the breakers before us; but here we had the advantage of them, for, not being used to the surf, they were obliged to wait to see us beach our boat, just as, in the same place, nearly a year before, we, in the Pilgrim, were glad to be taught by a boat's crew of Kanakas.",High
"Among her crew were two English man-of-war's-men, so that, of course, we soon had music. They sang in the true sailor's style, and the rest of the crew, which was a remarkably musical one, joined in the choruses. They had many of the latest sailor songs, which had not yet got about among our merchantmen, and which they were very choice of. They began soon after we came on board, and kept it up until after two bells, when the second mate came forward and called ""the Alerts away!"" Battle-songs, drinking-songs, boat-songs, love-songs, and everything else, they seemed to have a complete assortment of, and I was glad to find that ""All in the Downs,"" ""Poor Tom Bowline,"" ""The Bay of Biscay,"" ""List, ye Landsmen!"" and all those classical songs of the sea, still held their places. In addition to these, they had picked up at the theatres and other places a few songs of a little more genteel cast, which they were very proud of; and I shall never forget hearing an old salt, who had broken his voice by hard drinking on shore, and bellowing from the mast-head in a hundred northwesters, with all manner of ungovernable trills and quavers in the high notes, breaking into a rough falsetto--and in the low ones, growling along like the dying away of the boatswain's ""all hands ahoy!"" down the hatch-way, singing, ""Oh, no, we never mention him.""",High
"It is to be considered, also, that the sailor comes into court under very different circumstances from the master. He is thrown among landlords, and sharks of all descriptions; is often led to drink freely; and comes upon the stand unaided, and under a certain cloud of suspicion as to his character and veracity. The captain, on the other hand, is backed by the owners and insurers, and has an air of greater respectability; though, after all, he may have but a little better education than the sailor, and sometimes, (especially among those engaged in certain voyages that I could mention) a very hackneyed conscience.",High
"These visits were so full of interest, with grandeurs and humors of all sorts, that I am strongly tempted to describe them. But I remember that I am not to write a journal of a visit over the new California, but to sketch briefly the contrasts with the old spots of 1835-6, and I forbear.",High
"When thoughts of this place have occurred to me at different times, I have endeavored to recall more particulars with regard to it. It is situated in about 33º 30' S., and is distant a little more than three hundred miles from Valparaiso, on the coast of Chili, which is in the same latitude. It is about fifteen miles in length and five in breadth. The harbor in which we anchored (called by Lord Anson, Cumberland bay) is the only one in the island; two small bights of land on each side of the main bay (sometimes dignified by the name of bays) being little more than landing-places for boats. The best anchorage is at the western side of the bay, where we lay at about three cables' lengths from the shore, in a little more than thirty fathoms water. This harbor is open to the N.N.E., and in fact nearly from N. to E., but the only dangerous winds being the south-west, on which side are the highest mountains, it is considered very safe. The most remarkable thing perhaps about it is the fish with which it abounds. Two of our crew, who remained on board, caught in a few minutes enough to last us for several days, and one of the men, who was a Marblehead man, said that he never saw or heard of such an abundance. There were cod, breams, silver-fish, and other kinds whose names they did not know, or which I have forgotten.",High
"Previous to this he had served his country as United States District Attorney during the Civil War, a time when the office demanded the highest type of ability and uprightness. That the government appreciated this was shown in 1867 by its choice of Dana as one of its counsel in the prosecution of Jefferson Davis for treason. The position of legal representative before the Halifax tribunal of 1877, which met to discuss fishery questions at issue between the United States and Canada, was given him no doubt in part because of his eminent fitness, in part as balm for the wound of the preceding year.",High
"On board some vessels this is made a day of instruction and of religious exercises; but we had a crew of swearers, from the captain to the smallest boy; and a day of rest, and of something like quiet, social enjoyment, was all that we could expect.",High
"As is usual after a death, many stories were told about George. Some had heard him say that he repented never having learned to swim, and that he knew that he should meet his death by drowning. Another said that he never knew any good to come of a voyage made against the will, and the deceased man shipped and spent his advance and was afterwards very unwilling to go, but not being able to refund, was obliged to sail with us. A boy, too, who had become quite attached to him, said that George talked to him during most of the watch on the night before, about his mother and family at home, and this was the first time that he had mentioned the subject during the voyage.",High
"With the exception of Mr. N., we had no one on board but the regular ship's company, and the live stock. Upon this, we had made a considerable inroad. We killed one of the bullocks every four days, so that they did not last us up to the line. We, or, rather, they, then began upon the sheep and the poultry, for these never come into Jack's mess.[2] The pigs were left for the latter part of the voyage, for they are sailors, and can stand all weathers. We had an old sow on board, the mother of a numerous progeny, who had been twice round the Cape of Good Hope, and once round Cape Horn. The last time going round, was very nearly her death. We heard her squealing and moaning one dark night, after it had been snowing and hailing for several hours, and getting into the sty, we found her nearly frozen to death. We got some straw, an old sail, and other things, and wrapped her up in a corner of the sty, where she staid until we got into fine weather again.",High
"We turned-in early, knowing that we might expect an early call; and sure enough, before the stars had quite faded, ""All hands ahoy!"" and we were turned-to, heaving out ballast. A regulation of the port forbids any ballast to be thrown overboard; accordingly, our long-boat was lined inside with rough boards and brought alongside the gangway, but where one tub-full went into the boat, twenty went overboard. This is done by every vessel, for the ballast can make but little difference in the channel, and it saves more than a week of labor, which would be spent in loading the boats, rowing them to the point, and unloading them. When any people from the Presidio were on board, the boat was hauled up and ballast thrown in; but when the coast was clear, she was dropped astern again, and the ballast fell overboard. This is one of those petty frauds which every vessel practises in ports of inferior foreign nations, and which are lost sight of, among the countless deeds of greater weight which are hardly less common. Fortunately a sailor, not being a free agent in work aboard ship, is not accountable; yet the fact of being constantly employed, without thought, in such things, begets an indifference to the rights of others.",High
"The romantic interest which many take in the sea, and in those who live upon it, may be of use in exciting their attention to this subject, though I cannot but feel sure that all who have followed me in my narrative must be convinced that the sailor has no romance in his every-day life to sustain him, but that it is very much the same plain, matter-of-fact drudgery and hardship, which would be experienced on shore. If I have not produced this conviction, I have failed in persuading others of what my own experience has most fully impressed upon myself.",High
