passage,reading_level
"My father tried to follow the river bank but it was very swampy, and as he went farther the swamp became deeper. When it was almost as deep as his boot tops he got stuck in the oozy, mucky mud. My father tugged and tugged, and nearly pulled his boots right off, but at last he managed to wade to a drier place. Here the jungle was so thick that he could hardly see where the river was. He unpacked his compass and figured out the direction he should walk in order to stay near the river. But he didn't know that the river made a very sharp curve away from him just a little way beyond, and so as he walked straight ahead he was getting farther and farther away from the river.",Elementary
"It was very hard to walk in the jungle. The sticky leaves of the ferns caught at my father's hair, and he kept tripping over roots and rotten logs. Sometimes the trees were clumped so closely together that he couldn't squeeze between them and had to walk a long way around.",Elementary
"He began to hear whispery noises, but he couldn't see any animals anywhere. The deeper into the jungle he went the surer he was that something was following him, and then he thought he heard whispery noises on both sides of him as well as behind. He tried to run, but he tripped over more roots, and the noises only came nearer. Once or twice he thought he heard something laughing at him.",Elementary
"At last he came out into a clearing and ran right into the middle of it so that he could see anything that might try to attack him. Was he surprised when he looked and saw fourteen green eyes coming out of the jungle all around the clearing, and when the green eyes turned into seven tigers! The tigers walked around him in a big circle, looking hungrier all the time, and then they sat down and began to talk.",Elementary
"""I suppose you thought we didn't know you were trespassing in our jungle!""",Elementary
"Then the next tiger spoke. ""I suppose you're going to say you didn't know it was our jungle!""",Elementary
"""Did you know that not one explorer has ever left this island alive?"" said the third tiger.",Elementary
My father thought of the cat and knew this wasn't true. But of course he had too much sense to say so. One doesn't contradict a hungry tiger.,Elementary
"The tigers went on talking in turn. ""You're our first little boy, you know. I'm curious to know if you're especially tender.""",Elementary
"""Maybe you think we have regular meal-times, but we don't. We just eat whenever we're feeling hungry,"" said the fifth tiger.",Elementary
"""And we're very hungry right now. In fact, I can hardly wait,"" said the sixth.",Elementary
"""I can't wait!"" said the seventh tiger.",Elementary
"And then all the tigers said together in a loud roar, ""Let's begin right now!"" and they moved in closer.",Elementary
"My father looked at those seven hungry tigers, and then he had an idea. He quickly opened his knapsack and took out the chewing gum. The cat had told him that tigers were especially fond of chewing gum, which was very scarce on the island. So he threw them each a piece but they only growled, ""As fond as we are of chewing gum, we're sure we'd like you even better!"" and they moved so close that he could feel them breathing on his face.",Elementary
"""But this is very special chewing gum,"" said my father. ""If you keep on chewing it long enough it will turn green, and then if you plant it, it will grow more chewing gum, and the sooner you start chewing the sooner you'll have more.""",Elementary
"The tigers said, ""Why, you don't say! Isn't that fine!"" And as each one wanted to be the first to plant the chewing gum, they all unwrapped their pieces and began chewing as hard as they could. Every once in a while one tiger would look into another's mouth and say, ""Nope, it's not done yet,"" until finally they were all so busy looking into each other's mouths to make sure that no one was getting ahead that they forgot all about my father.",Elementary
"My father soon found a trail leading away from the clearing. All sorts of animals might be using it too, but he decided to follow the trail no matter what he met because it might lead to the dragon. He kept a sharp lookout in front and behind and went on.",Elementary
"Just as he was feeling quite safe, he came around a curve right behind the two wild boars. One of them was saying to the other, ""Did you know that the tortoises thought they saw Monkey carrying his sick grandmother to the doctor's last night? But Monkey's grandmother died a week ago, so they must have seen something else. I wonder what it was.""",Elementary
"On Christmas Eve, many years ago, I lay quietly in my bed.  I did not rustle the sheets.  I breathed slowly and silently.  I was listening for a sound – a sound a friend had told me I’d never hear- the ringing bells of Santa’s sleigh.",Elementary
"“There is no Santa,” my friend had insisted, but I knew he was wrong.",Elementary
"Late that night I did hear sounds, though not of ringing bells.  From outside came the sounds of hissing steam and squeaking metal.  I looked through my window and saw a train standing perfectly still in front of my house.",Elementary
"It was wrapped in an apron of steam.  Snowflakes fell lightly around it.  A conductor stood at the open door of one of the cars.  He took a large pocket watch from his vest, then looked up at my window.  I put on my slippers and robe.  I tiptoed downstairs and out the door.",Elementary
"“All aboard,” the conductor cried out.  I ran up to him.",Elementary
"“Well, he said, “are you coming?”",Elementary
“Where?” I asked.,Elementary
"“Why to the North Pole of course,” was his answer.  “This is the Polar Express.”  I took his outstretched hand and he pulled me aboard.",Elementary
"The train was filled with other children, all in their pajamas and nightgowns.  We sang Christmas carols and ate candies with nougat centers as white as snow.  We drank hot cocoa as thick and rich as melted chocolate bars.  Outside, the lights of towns and villages flickered in the distance as the Polar Express raced northward.",Elementary
"Soon there were no more lights to be seen.  We traveled through cold, dark forests, where lean wolves roamed and white-tailed rabbits hid from our train as it thundered through the quiet wilderness.",Elementary
"We climbed mountains so high it seemed as if we would scrape the moon.  But the Polar Express never slowed down.  Faster and faster we ran along, rolling over peaks and through valleys like a car on a roller coaster.",Elementary
"The mountains turned into hills, the hills to snow-covered plains.  We crossed a barren desert of ice—the Great Polar Ice Cap.  Lights appeared in the distance.  They looked like the lights of a strange ocean liner sailing on a frozen sea.  “There,” said the conductor, “is the North Pole.”",Elementary
"The North Pole.  It was a huge city standing alone at the top of the world, filled with factories where every Christmas toy was made.",Elementary
At first we saw no elves.,Elementary
"“They are gathering at the center of the city,” the conductor told us.  “That is where Santa will give the first gift of Christmas.”",Elementary
“Who receives the first gift?” we all asked.,Elementary
“He will choose one of you.”,Elementary
"“Look,” shouted one of the children,“the elves.”  Outside we saw hundreds of elves.  As our train drew closer to the center of the North Pole, we slowed to a crawl, so crowded were the streets with Santa’s helpers.  When the Polar Express could go no farther, we stopped and the conductor led us outside.",Elementary
"We pressed through the crowd to the edge of a large, open circle.  In front of us stood Santa’s sleigh.  The reindeer were excited.  They pranced and paced, ringing the silver sleigh bells that hung from their harnesses.  It was a magical sound, like nothing I’d ever heard.  Across the circle, the elves moved apart and Santa Claus appeared.  The elves cheered wildly.",Elementary
"He marched over to us and, pointing to me, said, “Let’s have this fellow here”  He jumped into his sleigh.  The conductor handed me up.  I sat on Santa’s knee and he asked, “Now, what would you like for Christmas?”",Elementary
"I knew that I could have any gift I could imagine.  But the thing I wanted most for Christmas was not inside Santa’s giant bag.  What I wanted more than anything was one silver bell from Santa’s sleigh.  When I asked, Santa smiled.  Then he gave me a hug and told an elf to cut a bell from a reindeer’s harness.  The elf tossed it up to Santa.  He stood, holding the bell high above him, and called out, “the first gift of Christmas!”",Elementary
"A clock struck midnight as the elves roared their approval.  Santa handed the bell to me, and I put it in my bathrobe pocket.  The conductor helped me down from the sleigh.  Santa shouted out the reindeer’s names and cracked his whip.  His team charged forward and climbed into the air.  Santa circled once above us, then disappeared in the cold, dark polar sky.",Elementary
"As soon as we were back inside the Polar Express, the other children asked to see the bell.  I reached into my pocket, but the only thing I felt was a hole.  I had lost the silver bell from Santa Claus’s sleigh.  “Let’s hurry outside and look for it,” one of the children said.  But the train gave a sudden lurch and started moving.  We were on our way home.",Elementary
"It broke my heart to lose the bell.  When the train reached my house, I sadly left the other children.  I stood at my doorway and waved good-bye.  The conductor said something from the moving train, but I couldn’t hear him. “What?” I yelled out.",Elementary
"He cupped his hands around his mouth.  “MERRY  CHRISTMAS, “he shouted.  The Polar Express let out a loud blast from its whistle and sped away.",Elementary
"On Christmas morning my little sister Sarah and I opened our presents.  When it looked as if everything had been unwrapped, Sarah found one last small box behind the tree.  It had my name on it.  Inside was the silver bell!  There was a note:  “Found this on the seat of my sleigh.  Fix that hole in your pocket.”  Signed, “Mr. C.”",Elementary
I shook the bell.  It made the most beautiful sound my sister and I had ever heard.,Elementary
"But my mother said, “Oh, that’s too bad.”",Elementary
"“Yes,” said my father, “it’s broken.”",Elementary
"When I’d shaken the bell, my parents had not heard a sound.",Elementary
"It was not that Omri didn’t appreciate Patrick’s birthday present to him. Far from it. He was really very grateful—sort of. It was, without a doubt, very kind of Patrick to give Omri anything at all, let alone a secondhand plastic Indian that he himself had ɹnished with.",Elementary
"The trouble was, though, that Omri was getting a little fed up with small plastic ɹgures, of which he had loads. Biscuit tinsful, probably three or four if they were all put away at the same time, which they never were because most of the time they were scattered about in the bathroom, the loft, the kitchen, the breakfast room, not to mention Omri’s bedroom and the garden. The compost heap was full of soldiers which, over several autumns, had been raked up with the leaves by Omri’s mother, who was rather careless about such things.",Elementary
"Omri and Patrick had spent many hours together playing with their joint collections of plastic toys. But now they’d had about enough of them, at least for the moment, and that was why, when Patrick brought his present to school on Omri’s birthday, Omri was disappointed. He tried not to show it, but he was.",Elementary
“Do you really like him?” asked Patrick as Omri stood silently with the Indian in his hand.,Elementary
"“Yes, he’s fantastic,” said Omri in only a slightly ɻattish voice. “I haven’t got an Indian.”",Elementary
“I know.”,Elementary
“I haven’t got any cowboys either.”,Elementary
“Nor have I. That’s why I couldn’t play anything with him.”,Elementary
"Omri opened his mouth to say, “I won’t be able to either,” but, thinking that might hurt Patrick’s feelings, he said nothing, put the Indian in his pocket, and forgot about it.",Elementary
"After school there was a family tea, and all the excitement of his presents from his parents and his two older brothers. He got his dearest wish—a skateboard complete with kick-board and kryptonic wheels from his mum and dad, and from his eldest brother, Adiel, a helmet. Gillon, his other brother, hadn’t bought him anything because he had no money (his pocket money had been stopped some time ago in connection with a very unfortunate accident involving their father’s bicycle). So when Gillon’s turn came to give Omri a present, Omri was very surprised when a large parcel was put before him, untidily wrapped in brown paper and string.",Elementary
“What is it?”,Elementary
“Have a look. I found it in the alley.”,Elementary
"The alley was a narrow passage that ran along the bottom of the garden where the dustbins stood. The three boys used to play there sometimes, and occasionally found treasures that other—perhaps richer—neighbors had thrown away. So Omri was quite excited as he tore off the paper.",Elementary
"Inside was a small white metal cupboard with a mirror in the door, the kind you see over the basin in old-fashioned bathrooms.",Elementary
"You might suppose Omri would get another disappointment about this because the cupboard was fairly plain and, except for a shelf, completely empty, but oddly enough he was very pleased with it. He loved cupboards of any sort because of the fun of keeping things in them. He was not a very tidy boy in general, but he did like arranging things in cupboards and drawers and then opening them later and ɹnding them just as he’d left them.",Elementary
"“I do wish it locked,” he said.",Elementary
"“You might say thank you before you start complaining,” said Gillon.",Elementary
"“It’s got a keyhole,” said their mother. “And I’ve got a whole boxful of keys. Why don’t you try all the smaller ones and see if any of them fit?”",Elementary
"Most of the keys were much too big, but there were half a dozen that were about the right size. All but one of these were very ordinary. The unordinary one was the most interesting key in the whole collection, small with a complicated lock part and a fancy top. A narrow strip of red satin ribbon was looped through one of its curly openings. Omri saved that key to the last.",Elementary
"None of the others ɹtted, and at last he picked up the curly-topped key and carefully put it in the keyhole on the cupboard door, just below the knob. He did hope very much that it would turn, and regretted wasting his birthday-cake-cutting wish on something so silly (or rather, unlikely) as that he might pass his spelling test next day, which it would take real magic to bring about as he hadn’t even looked at the words since they’d been given out four days ago. Now he closed his eyes and unwished the test pass and wished instead that this little twisty key would turn Gillon’s present into a secret cupboard.",Elementary
The key turned smoothly in the lock. The door wouldn’t open.,Elementary
“Hey! Mum! I’ve found one!”,Elementary
"“Have you, darling? Which one?” His mother came to look. “Oh that one! How very odd. That was the key to my grandmother’s jewel box, that she got from Florence. It was made of red leather and it fell to bits at last, but she kept the key and gave it to me. She was most terribly poor when she died, poor old sweetie, and kept crying because she had nothing to leave me, so in the end I said I’d rather have this little key than all the jewels in the world. I threaded it on that bit of ribbon—it was much longer then—and hung it around my neck and told her I’d always wear it and remember her. And I did for a long time. But then the ribbon broke and I nearly lost it.”",Elementary
"“You could have got a chain for it,” said Omri.",Elementary
"She looked at him. “You’re right,” she said. “I should have done just that. But I didn’t. And now it’s your cupboard key. Please don’t lose it, Omri, will you?”",Elementary
"Omri put the cupboard on his bedside table, and opening it, looked inside thoughtfully. What would he put in it?",Elementary
"“It’s supposed to be for medicines,” said Gillon. “You could keep your nosedrops in it.”",Elementary
"“No! That’s just wasting it. Besides, I haven’t any other medicines.”",Elementary
"“Why don’t you pop this in?” his mother suggested, and opened her hand. In it was Patrick’s Indian. “I found it when I was putting your trousers in the washing machine.”",Elementary
Omri carefully stood the Indian on the shelf.,Elementary
“Are you going to shut the door?” asked his mother.,Elementary
“Yes. And lock it.”,Elementary
He did this and then kissed his mother and she turned the light out and he lay down on his side looking at the cupboard. He felt very content. Just as he was dropping oʃ to sleep his eyes snapped open. He had thought he heard a little noise … but no. All was quiet. His eyes closed again.,Elementary
In the morning there was no doubt about it. The noise actually woke him.,Elementary
"He lay perfectly still in the dawn light staring at the cupboard, from which was now coming a most extraordinary series of sounds. A pattering; a tapping; a scrabbling; and —surely?—a high-pitched noise like—well, almost like a tiny voice.",Elementary
"To be truthful, Omri was petriɹed. Who wouldn’t be? Undoubtedly there was something alive in that cupboard. At last, he put out his hand and touched it. He pulled very carefully. The door was shut tight. But as he pulled, the cupboard moved, just slightly. The noise from inside instantly stopped.",Elementary
"He lay still for a long time, wondering. Had he imagined it? The noise did not start again. At last he cautiously turned the key and opened the cupboard door.",Elementary
The Indian was gone.,Elementary
"Omri sat up sharply in bed and peered into the dark corners. Suddenly he saw him. But he wasn’t on the shelf anymore, he was in the bottom of the cupboard. And he wasn’t standing upright. He was crouching in the darkest corner, half hidden by the front of the cupboard. And he was alive.",Elementary
"Omri knew that immediately. To begin with, though the Indian was trying to keep perfectly still—as still as Omri had kept, lying in bed a moment ago—he was breathing heavily. His bare, bronze shoulders rose and fell, and were shiny with sweat. The single feather sticking out of the back of his headband quivered, as if the Indian were trembling. And as Omri peered closer, and his breath fell on the tiny huddled ɹgure, he saw it jump to its feet; its minute hand made a sudden, darting movement toward its belt and came to rest clutching the handle of a knife smaller than the shaft of a tack.",Elementary
"Neither Omri nor the Indian moved for perhaps a minute and a half. They hardly breathed either. They just stared at each other. The Indian’s eyes were black and ɹerce and frightened. His lips were drawn back from shining white teeth, so small you could scarcely see them except when they caught the light. He stood pressed against the inside wall of the cupboard, clutching his knife, rigid with terror, but defiant.",Elementary
"The ɹrst coherent thought that came into Omri’s mind as he began to get over the shock was, “I must call the others!”—meaning his parents and brothers. But something (he wasn’t sure what) stopped him. Maybe he was afraid that if he took his eyes oʃ the Indian for even a moment, he would vanish, or become plastic again, and then when the others came running they would all laugh and accuse Omri of making things up. And who could blame anyone for not believing this unless they saw it with their own eyes?",Elementary
"Another reason Omri didn’t call anyone was that, if he was not dreaming and the Indian had really come alive, it was certainly the most marvelous thing that had ever happened to Omri in his life and he wanted to keep it to himself, at least at first.",Elementary
"His next thought was that he must somehow get the Indian in his hand. He didn’t want to frighten him any further, but he had to touch him. He simply had to. He reached his hand slowly into the cupboard.",Elementary
"The Indian gave a fantastic leap into the air. His black hair flew and the fringes on his leggings fluttered. His knife, raised above his head, flashed. He gave a shout, which, even though it was a tiny shout to match his body, was nevertheless loud enough to make Omri jump. But not so much as he jumped when the little knife pierced his ɹnger deeply enough to draw a drop of blood.",Elementary
